77491; PEDIASURE ; PEDIASURE; NOT FOUND; PO COMP CHOC 900 G x 1; ABT
73396; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; P7B

76263; PHARNOLOL ; PHARNOLOL; NOT FOUND; CPR 40 MG x 30; P7B

66780; PENTRAT ; PENTRAT; NOT FOUND; CPR 400 MG x 20; P7B

89152; PROCTOPHAR ; PROCTOPHAR; NOT FOUND; POMADA. 25 G x 1; P7B

75445; PARAFLAN ; PARAFLAN; NOT FOUND; CPR 750 MG x 200; P7B

55488; PRURIZIN ; PRURIZIN; NOT FOUND; SOLN ORAL 10 MG 100 ML x 1 (/5ML); P_F

59622; PRURIZIN ; PRURIZIN; NOT FOUND; CPR SULCADO 25 MG x 30; P_F

51062; PED-ELEMENT ; PED ELEMENT; NOT FOUND; AMP. 4 ML x 50; P_F

58048; PRACAP ; PRACAP; NOT FOUND; CPR REVEST 1 MG x 30; P_F

55673; PRURIZIN ; PRURIZIN; NOT FOUND; CPR 10 MG x 30; P_F

61664; POSIDON ; POSIDON; NOT FOUND; F.AMP 100 MG 5 ML x 10; P_F

66400; PENCIL B ; PENCIL B; NOT FOUND; F.AMP LIOF 600 K x 50; PDO

66416; PROFENICOL ; PROFENICOL; NOT FOUND; F.AMP LIOF 1 G x 50; PDO

66034; PENCIL B ; PENCIL B; NOT FOUND; F.AMP LIOF 1200 K x 50; PDO

66410; PRODOXACILINA ; PRODOXACILINA; NOT FOUND; F.AMP 500 MG x 50; PDO

68054; PENCIL P ; PENCIL P; NOT FOUND; F.AMP 400 IU x 50; PDO

75214; PROZEN ; PROZEN; NOT FOUND; CAPS 20 MG x 100; PFZ

70444; PREMARIN ; PREMARIN; NOT FOUND; CREME VAG. 0.625 MG 26 G x 1 (/G); PFZ

28131; PLETIL ; PLETIL; NOT FOUND; CPR 500 MG x 4; PFZ

57797; PROVERA ; PROVERA; NOT FOUND; CPR 5 MG x 14; PFZ

49617; PREMARIN ; PREMARIN; NOT FOUND; DRAG 0.625 MG x 28; PFZ

75424; PRISTIQ ; PRISTIQ; NOT FOUND; CPR REV LC 50 MG x 14; PFZ

75425; PRISTIQ ; PRISTIQ; NOT FOUND; CPR REV LC 50 MG x 28; PFZ

49618; PREMARIN ; PREMARIN; NOT FOUND; DRAG 1.25 MG x 28; PFZ

92399; PRAXETINA ; PRAXETINA; NOT FOUND; CPR REVEST 20 MG x 60; PFZ

55981; PLATISTINE CS ; PLATISTINE CS; NOT FOUND; F.AMP LIOF 10 MG 10 ML x 5; PFZ

30723; POSTOVAL ; POSTOVAL; NOT FOUND; DRAG x 21; PFZ

49619; PREMARIN ; PREMARIN; NOT FOUND; DRAG 0.30 MG x 28; PFZ

29287; PLETIL ; PLETIL; NOT FOUND; CPR 500 MG x 8; PFZ

57796; PROVERA ; PROVERA; NOT FOUND; CPR 2.50 MG x 14; PFZ

53033; PLATAMINE CS ; PLATAMINE CS; NOT FOUND; F.AMP 450 MG 45 ML x 1; PFZ

55783; PROTANOL ; PROTANOL; NOT FOUND; CPR 25 MG x 20; PFZ

55300; PROLIFT ; PROLIFT; NOT FOUND; CPR BLISTER 4 MG x 20; PFZ

55983; PLATISTINE CS ; PLATISTINE CS; NOT FOUND; F.AMP LIOF 100 MG 100 ML x 1; PFZ

55672; PROVERA ; PROVERA; NOT FOUND; CPR 10 MG x 14; PFZ

55184; PROZEN ; PROZEN; NOT FOUND; CAPS 20 MG x 28; PFZ

75426; PRISTIQ ; PRISTIQ; NOT FOUND; CPR REV LC 100 MG x 14; PFZ

53032; PLATAMINE CS ; PLATAMINE CS; NOT FOUND; F.AMP 150 MG 15 ML x 1; PFZ

92398; PRAXETINA ; PRAXETINA; NOT FOUND; CPR REVEST 20 MG x 30; PFZ

55982; PLATISTINE CS ; PLATISTINE CS; NOT FOUND; F.AMP LIOF 50 MG 50 ML x 1; PFZ

53031; PLATAMINE CS ; PLATAMINE CS; NOT FOUND; F.AMP 50 MG 5 ML x 1; PFZ

87160; PROZEN ; PROZEN; NOT FOUND; GOTAS 20 MG 20 ML x 1 (/ML); PFZ

92397; PRAXETINA ; PRAXETINA; NOT FOUND; CPR REVEST 20 MG x 10; PFZ

76996; PRISTIQ ; PRISTIQ; NOT FOUND; CPR REV LC 50 MG x 7; PFZ

30540; PONSTAN ; PONSTAN; NOT FOUND; CPR 500 MG x 24; PFZ

113083; PLATISTINE CS ; PLATISTINE CS; NOT FOUND; F.AMP LIOF 10 MG 10 ML x 1; PFZ

8717; PROPIL ; PROPIL; NOT FOUND; CPR 100 MG x 30; PFZ

85928; PRISTIQ ; PRISTIQ; NOT FOUND; CPR REV LC 100 MG x 28; PFZ

49616; PREMARIN ; PREMARIN; NOT FOUND; DRAG 0.625 MG x 21; PFZ

51973; PREMELLE ; PREMELLE; NOT FOUND; DRAG x 28; PFZ

71947; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORAL GUA 450 ML x 1; PLB

106152; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV GUARA 28.5 G x 4; PLB

75309; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORA.COLA 450 ML x 1; PLB

106153; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV FRAMB 28.5 G x 4; PLB

79153; PROCTAM ; PROCTAM; NOT FOUND; POM. 25 G x 1; PLB

88107; PANTOCLER ; PANTOCLER; NOT FOUND; FLAC ABACAXI 10 ML x 12; PLB

106833; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV FRAMB 27.9 G x 50; PLB

106151; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV UVA 28.5 G x 4; PLB

68128; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORAL NAT 450 ML x 1; PLB

68132; POLYDRAT ; POLYDRAT; NOT FOUND; POLVO ENVELO 27.9 G x 4; PLB

98198; PANTOCLER ; PANTOCLER; NOT FOUND; FLAC ABACAXI 10 ML x 60; PLB

106154; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV LARAN 28.5 G x 4; PLB

67410; PIOLEND ; PIOLEND; NOT FOUND; LIQD 1 % 60 ML x 1; PLB

76619; POEJAN ; POEJAN; NOT FOUND; XAROPE 100 ML x 1; PLB

106836; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV GUARA 27.9 G x 50; PLB

68130; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORAL UVA 450 ML x 1; PLB

106829; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV LARAN 27.9 G x 50; PLB

68125; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORAL LAR 450 ML x 1; PLB

106838; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV UVA 27.9 G x 50; PLB

68133; POLYDRAT ; POLYDRAT; NOT FOUND; POLVO ENVELO 27.9 G x 50; PLB

68122; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORAL FRA 450 ML x 1; PLB

125368; PHYTOMARE ; PHYTOMARE; NOT FOUND; CAPS GER SOJ 500 MG x 120; PMR

104006; PHYTOMARE ; PHYTOMARE; NOT FOUND; CAPS CAL OST x 60; PMR

58145; PROGEMEL ; PROGEMEL; NOT FOUND; GOTAS 30 ML x 1; PNU

65508; PENEMONEX ; PENEMONEX; NOT FOUND; POTE 300 MG x 1; PNU

58146; PROGEMEL ; PROGEMEL; NOT FOUND; SPRAY 30 ML x 1; PNU

56632; PULMOMEL PLUS ; PULMOMEL PLUS; NOT FOUND; XAR. EXP. 150 ML x 1; POB

56631; PULMOMEL ; PULMOMEL; NOT FOUND; XAROPE 180 G x 1; POB

8682; PROFARGIL ; PROFARGIL; NOT FOUND; CPR x 20; PRB

71803; PRIMEIRA PROTECAO ; PRIMEIRA PROTECAO; NOT FOUND; SPRAY NASAL 15 ML x 1; PRG

111019; PAYOT ACNEDERM ; PAYOT ACNEDERM; NOT FOUND; STICK SICCAT 4 G x 1; PY_

115968; PAYOT ACNEDERM ; PAYOT ACNEDERM; NOT FOUND; GEL DE SOIN 50 G x 1; PY_

62117; POLIBIOTIC ; POLIBIOTIC; NOT FOUND; SUSP ORAL 200 MG 80 ML x 1 (/5ML); PZ8

63096; PRATICILIN ; PRATICILIN; NOT FOUND; SUSP 250 MG 60 ML x 50 (/5ML); PZ8

77037; POLIBIOTIC ; POLIBIOTIC; NOT FOUND; CAPS 250 MG x 20; PZ8

75313; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 20; PZ8

68393; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 100; PZ8

70503; PRATI SAL ; PRATI SAL; NOT FOUND; PO ENV.TRAD 27.9 G x 200; PZ8

73645; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SACHETS 500 MG 5 G x 50; PZ8

68000; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 30; PZ8

65992; POLIBIOTIC ; POLIBIOTIC; NOT FOUND; CPR 250 MG x 300; PZ8

73902; PRATSORIN ; PRATSORIN; NOT FOUND; SOLN NASAL 9 MG 45 ML x 1 (/ML); PZ8

72599; PRATI SAL ; PRATI SAL; NOT FOUND; PO ENV.LARAN 28.4 G x 4; PZ8

72881; PRATIGLOS ; PRATIGLOS; NOT FOUND; POM. 45 G x 50; PZ8

70558; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 350; PZ8

81776; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 320; PZ8

70325; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 40 MG x 10; PZ8

77039; PROMETAZINA MG ; PROMETAZINA; PROMETAZINA; CAPS 25 MG x 20; PZ8

89287; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 280; PZ8

70502; PRATI SAL ; PRATI SAL; NOT FOUND; PO ENV.TRAD 27.9 G x 50; PZ8

64935; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 28; PZ8

70443; PRATI SAL ; PRATI SAL; NOT FOUND; PO ENV.TRAD 27.9 G x 4; PZ8

73307; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 300; PZ8

63164; PRATICILIN ; PRATICILIN; NOT FOUND; SUSP 250 MG 60 ML x 1 (/5ML); PZ8

76338; PRATIFOLIN ; PRATIFOLIN; NOT FOUND; CPR REVEST 5 MG x 400; PZ8

73309; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 360; PZ8

145117; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 90; PZ8

87543; PRATIGLOS ; PRATIGLOS; NOT FOUND; POM. 90 G x 1; PZ8

73900; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SACHETS 500 MG 5 G x 5; PZ8

73903; PRATSORIN-H ; PRATSORIN H; NOT FOUND; SPRAY NASAL 30 MG 60 ML x 1 (/ML); PZ8

71945; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 15; PZ8

67151; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM. 0.50 MG 30 G x 1 (/G); PZ8

135047; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; SOL CAP 0.50 MG 50 G x 1 (/G); PZ8

76337; PRATIFOLIN ; PRATIFOLIN; NOT FOUND; CPR REVEST 5 MG x 20; PZ8

145116; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 60; PZ8

76339; PRATIFOLIN ; PRATIFOLIN; NOT FOUND; CPR REVEST 5 MG x 30; PZ8

72819; PRATIGEL ; PRATIGEL; NOT FOUND; POM. 20 G x 1; PZ8

72880; PRATIGLOS ; PRATIGLOS; NOT FOUND; POM. 45 G x 1; PZ8

62113; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 480; PZ8

75336; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 280; PZ8

73614; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 10 MG x 300; PZ8

68436; POLIBIOTIC ; POLIBIOTIC; NOT FOUND; SUSP ORAL 200 MG 80 ML x 50 (/5ML); PZ8

68392; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 100; PZ8

71946; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 300; PZ8

62114; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); PZ8

75310; PRATI SAL ; PRATI SAL; NOT FOUND; PO ENV.LARAN 28 G x 50; PZ8

67110; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 300; PZ8

160373; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 600; PZ8

62115; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 200 (/ML); PZ8

67149; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME 0.50 MG 30 G x 1 (/G); PZ8

75311; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; PZ8

89966; PROMETAZINA MG ; PROMETAZINA; PROMETAZINA; CPR REVEST 25 MG x 120; PZ8

63094; PRATICILIN ; PRATICILIN; NOT FOUND; CAPS 500 MG x 300; PZ8

62111; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 500; PZ8

67999; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 14; PZ8

73308; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 200; PZ8

69626; PRATIDERM ; PRATIDERM; NOT FOUND; POM.DERMAT 60 G x 1; PZ8

112792; PERMETRINA MG ; PERMETRINA; PERMETRINA; LOC. 10 % 60 ML x 1; PZ8

87544; PRATIGLOS ; PRATIGLOS; NOT FOUND; POM. 135 G x 1; PZ8

73901; PRATSORIN ; PRATSORIN; NOT FOUND; SOLN NASAL 9 MG 30 ML x 1 (/ML); PZ8

62112; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 24; PZ8

75312; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; PZ8

62110; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 20; PZ8

85719; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 40 MG x 300; PZ8

84233; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 80; PZ8

160372; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 600; PZ8

67308; PLUSVITAM ; PLUSVITAM; NOT FOUND; XAROPE 100 ML x 1; Q2R

67182; PLATINIL ; PLATINIL; NOT FOUND; F.AMP INFUS 50 MG 100 ML x 1; QU6

32679; PELOTENSE ; PELOTENSE; NOT FOUND; PO 80 G x 1; QUS

8525; PELOTENSE ; PELOTENSE; NOT FOUND; PO 120 G x 1; QUS

31961; PELOTENSE ; PELOTENSE; NOT FOUND; SABAO 100 G x 1; QUS

61535; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 10; RBY

74300; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; RBY

74298; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 7; RBY

61536; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 15; RBY

65436; PIROXICAM GEL MG ; PIROXICAM GEL; NOT FOUND; GEL. 0.50 % 30 G x 1; RBY

63145; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 20 MG x 30; RBY

74299; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; RBY

63144; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 10 MG x 30; RBY

73364; PERINDOPRIL ERB.MG ; PERINDOPRIL ERB; PERINDOPRIL ERBUMINA; CPR 4 MG x 14; RBY

73365; PERINDOPRIL ERB.MG ; PERINDOPRIL ERB; PERINDOPRIL ERBUMINA; CPR 4 MG x 30; RBY

8705; PROLOPA ; PROLOPA; NOT FOUND; CPR 250 MG x 30; ROC

114544; PERJETA ; PERJETA; NOT FOUND; F AMP IV 420 MG 14 ML x 1; ROC

99022; PROLOPA ; PROLOPA; NOT FOUND; CPR BD 100 MG x 60 (/25); ROC

69965; PEGASYS ; PEGASYS; NOT FOUND; SER PREENCH 180 Y 0.50 ML x 1; ROC

99516; PROLOPA ; PROLOPA; NOT FOUND; CPR BD 100 MG x 30 (/25); ROC

51064; PULMOZYME ; PULMOZYME; NOT FOUND; AMP. INHLT 2.50 MG 2.50 ML x 6; ROC

59785; PROLOPA ; PROLOPA; NOT FOUND; CPR DISPER. 125 MG x 30; ROC

50373; PROLOPA ; PROLOPA; NOT FOUND; CAPS RET HBS 125 MG x 30; ROC

66113; PARACETREX ; PARACETREX; NOT FOUND; CPR 500 MG x 200; ROY

65506; PARACETREX ; PARACETREX; NOT FOUND; CPR 750 MG x 200; ROY

59854; PROPANOX ; PROPANOX; NOT FOUND; CPR 80 MG x 20; ROY

59853; PROPANOX ; PROPANOX; NOT FOUND; CPR 40 MG x 40; ROY

72883; PROPANOX ; PROPANOX; NOT FOUND; CPR 40 MG x 500; ROY

126104; PERAX RIO ; PERAX RIO; NOT FOUND; L PERAX RIO 0.20 % 5 L x 1; RQQ

41996; PROFENID ; PROFENID; NOT FOUND; CPR ENT.RET. 200 MG x 10; S_A

56629; PLAVIX ; PLAVIX; NOT FOUND; CPR REVEST 75 MG x 28; S_A

77294; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 200 Y x 28; S_A

77290; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 125 Y x 28; S_A

55776; PLAVIX ; PLAVIX; NOT FOUND; CPR REVEST 75 MG x 14; S_A

8235; PEPSAMAR ; PEPSAMAR; NOT FOUND; CPR 230 MG x 100; S_A

95781; PROFENID ; PROFENID; NOT FOUND; CPR ENT COAT 100 MG x 3; S_A

31211; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 100 Y x 30; S_A

77074; PLAVIX PROTECT ; PLAVIX PROTECT; NOT FOUND; CPR REVEST 75 MG x 56 (/100); S_A

29354; PROFENID ; PROFENID; NOT FOUND; SUP. 100 MG x 10; S_A

8409; PLASIL ; PLASIL; NOT FOUND; CPR 10 MG x 20; S_A

75662; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; S_A

56633; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 125 Y x 30; S_A

77284; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 50 Y x 28; S_A

49922; PROFENID GEL ; PROFENID GEL; NOT FOUND; GEL. 2.50 % 30 G x 1; S_A

54791; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 75 Y x 30; S_A

61997; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 200 Y x 30; S_A

74484; PROFENID XAROPE ; PROFENID XAROPE; NOT FOUND; XAROPE 1 MG 150 ML x 1 (/ML); S_A

58311; PEPSAMAR ; PEPSAMAR; NOT FOUND; CPR 230 MG x 30; S_A

50003; PRIMACOR ; PRIMACOR; NOT FOUND; INFUSAO I.V 1 MG 20 ML x 1 (/ML); S_A

77285; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 75 Y x 28; S_A

64253; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 112 Y x 30; S_A

77286; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 88 Y x 28; S_A

32553; PIPORTIL L4 ; PIPORTIL L4; NOT FOUND; AMP. RETARD 25 MG 1 ML x 3; S_A

77288; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 100 Y x 28; S_A

8410; PLASIL ; PLASIL; NOT FOUND; GOTAS 10 MG 10 ML x 1 (/ML); S_A

69867; PEPSAMAR ; PEPSAMAR; NOT FOUND; CPR MASC 230 MG x 200; S_A

64252; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 88 Y x 30; S_A

32554; PIPORTIL L4 ; PIPORTIL L4; NOT FOUND; AMP. RETARD 100 MG 4 ML x 1; S_A

77293; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 175 Y x 28; S_A

77075; PLAVIX PROTECT ; PLAVIX PROTECT; NOT FOUND; CPR REVEST 75 MG x 28 (/100); S_A

73576; PENTOXIFILINA MG ; PENTOXIFILINA; PENTOXIFILINA; CPR REVES.LP 400 MG x 30; S_A

54789; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 25 Y x 30; S_A

8688; PROFENID ; PROFENID; NOT FOUND; CAPS 50 MG x 24; S_A

78410; PLAVIX ; PLAVIX; NOT FOUND; CPR REVEST 300 MG x 4; S_A

57800; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 175 Y x 30; S_A

79291; PRIMACOR ; PRIMACOR; NOT FOUND; VIAL I.V 1 MG 10 ML x 10 (/ML); S_A

70085; PLAVIX ; PLAVIX; NOT FOUND; CPR REVEST 75 MG x 98; S_A

51118; PERIODONTIL ; PERIODONTIL; NOT FOUND; CPR x 20; S_A

8404; PLASIL ; PLASIL; NOT FOUND; AMP. 10 MG 2 ML x 100; S_A

46225; PLASIL ; PLASIL; NOT FOUND; SOLN 5 MG 100 ML x 1 (/5ML); S_A

50075; PLAQUINOL ; PLAQUINOL; NOT FOUND; CPR 400 MG x 30; S_A

69866; PEPSAMAR ; PEPSAMAR; NOT FOUND; CPR MASC 230 MG x 50; S_A

73575; PENTOXIFILINA MG ; PENTOXIFILINA; PENTOXIFILINA; CPR REVES.LP 400 MG x 20; S_A

54792; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 150 Y x 30; S_A

42795; PROFENID ; PROFENID; NOT FOUND; F.AMP LIOF 100 MG x 6; S_A

49284; PROFENID ; PROFENID; NOT FOUND; CPR ENT.COAT 100 MG x 20; S_A

77289; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 112 Y x 28; S_A

75802; PROMETAZINA MG ; PROMETAZINA; PROMETAZINA; CREME. 20 MG 30 G x 1 (/G); S_A

51567; PROFENID ; PROFENID; NOT FOUND; F.IV LIOF 100 MG x 50; S_A

50625; PREDNISOLON ; PREDNISOLON; NOT FOUND; SOLN 5 MG 100 ML x 1 (/5ML); S_A

49923; PROFENID GOTAS ; PROFENID GOTAS; NOT FOUND; GOTAS 2 % 20 ML x 1; S_A

54790; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 50 Y x 30; S_A

59666; PEPSAPLUS ; PEPSAPLUS; NOT FOUND; SUSP 240 ML x 1; S_A

75419; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; S_A

77291; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 150 MG x 28; S_A

77283; PURAN T-4 ; PURAN T 4; NOT FOUND; CPR 25 Y x 28; S_A

8236; PEPSAMAR ; PEPSAMAR; NOT FOUND; GEL. 230 MG 240 ML x 1 (/5ML); S_A

134323; PROFENID PROTECT ; PROFENID PROTECT; NOT FOUND; CAPS GEL DUR x 10; S_A

73081; PIOLHOL ; PIOLHOL; NOT FOUND; SABAO . 80 G x 1; S_S

33485; PEITORAL AMEIXAS ; PEITORAL AMEIXAS; NOT FOUND; XAROPE 90 ML x 1; S_S

8098; PASSIFLORA DAREL ; PASSIFLORA DAREL; NOT FOUND; LIQD 100 ML x 1; SAF

75904; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; SDZ

73850; PIROXICAM MG ; PIROXICAM; PIROXICAM; CPR SOLUVEL 20 MG x 15; SDZ

73363; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; SDZ

61805; PONTIN ; PONTIN; NOT FOUND; CPR 500 MG x 24; SDZ

63920; PANTOPAZ ; PANTOPAZ; NOT FOUND; CPR REVEST 40 MG x 14; SDZ

59289; PIROXICAM MG ; PIROXICAM; PIROXICAM; CPR SOLUVEL 20 MG x 10; SDZ

64526; PANTOPAZ ; PANTOPAZ; NOT FOUND; CPR REVEST 20 MG x 14; SDZ

75251; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 28; SDZ

72728; PLAGREL ; PLAGREL; NOT FOUND; CPR REVEST 75 MG x 14; SDZ

73240; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; SDZ

70207; PONTIN ; PONTIN; NOT FOUND; CPR 500 MG x 120; SDZ

64525; PANTOPAZ ; PANTOPAZ; NOT FOUND; CPR REVEST 20 MG x 7; SDZ

76091; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 14; SDZ

64527; PANTOPAZ ; PANTOPAZ; NOT FOUND; CPR REVEST 20 MG x 28; SDZ

75252; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; SDZ

72729; PLAGREL ; PLAGREL; NOT FOUND; CPR REVEST 75 MG x 28; SDZ

63919; PANTOPAZ ; PANTOPAZ; NOT FOUND; CPR REVEST 40 MG x 7; SDZ

63921; PANTOPAZ ; PANTOPAZ; NOT FOUND; CPR REVEST 40 MG x 28; SDZ

130489; PIOSARIM ; PIOSARIM; NOT FOUND; LOCAO 0.20 MG 100 ML x 1 (/ML); SEZ

88349; PIOSARIM ; PIOSARIM; NOT FOUND; SH PIOLHO 100 ML x 1; SEZ

60416; PARACEMIL ; PARACEMIL; NOT FOUND; GOTAS 200 MG 15 ML x 1; SIN

60415; PARACEMIL ; PARACEMIL; NOT FOUND; CPR 750 MG x 200; SIN

84740; PHLORETIN CF ; PHLORETIN CF; NOT FOUND; LIQ 30 ML x 1; SK9

93190; PHYTO CORRECTIVE ; PHYTO CORRECTIVE; NOT FOUND; LIQ 30 ML x 1; SK9

95196; PHYSICAL FU UV DEF ; PHYSICAL FU UV DEF; NOT FOUND; LOCAO FPS50 50 ML x 1; SK9

78373; PROMETAZOL ; PROMETAZOL; NOT FOUND; AMP. 50 MG 2 ML x 100; SNV

59617; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 20; SNV

49048; PREDVAL ; PREDVAL; NOT FOUND; CPR 5 MG x 20; SNV

49045; PIROXIL ; PIROXIL; NOT FOUND; CAPS 20 MG x 10; SNV

76946; PRAZONIL ; PRAZONIL; NOT FOUND; CAPS 20 MG x 30; SNV

67113; PRONASTERON ; PRONASTERON; NOT FOUND; CPR 1 MG x 30; SNV

49049; PREDVAL ; PREDVAL; NOT FOUND; CPR 20 MG x 20; SNV

73398; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 500; SNV

54904; PERMATON ; PERMATON; NOT FOUND; CPR 100 MG x 100; SNV

62068; PROMETAZOL ; PROMETAZOL; NOT FOUND; CPR 25 MG x 10; SNV

